epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3061,1.376,7.94588,0.96847,0.88566,0.04812,0.04063,0.03291,1.02636,6.66992,0.85489,6.177e-05,6.177e-05,6.177e-05
2,123.028,1.11842,5.00673,0.84978,0.47665,0.22873,0.16293,0.13225,0.89587,4.36666,0.84021,0.000123182,0.000123182,0.000123182
3,186.145,1.12244,3.92895,0.84345,0.55859,0.22251,0.21329,0.17767,0.79759,3.43804,0.82827,0.000182063,0.000182063,0.000182063
4,388.916,1.02137,3.12561,0.84806,0.32913,0.32201,0.23394,0.18792,0.82417,2.86682,0.83252,0.000200348,0.000200348,0.000200348
5,445.669,1.006,2.72189,0.82988,0.49761,0.34627,0.30249,0.24362,0.79079,2.65687,0.82909,0.00019613,0.00019613,0.00019613
6,506.154,0.96077,2.36189,0.82494,0.32672,0.35407,0.31986,0.26118,0.73456,2.39694,0.82681,0.000191913,0.000191913,0.000191913
7,791.463,1.00333,2.202,0.83194,0.40439,0.34081,0.32732,0.26546,0.76584,2.27174,0.82581,0.000187696,0.000187696,0.000187696
8,979.672,0.90489,1.91987,0.82019,0.42077,0.34546,0.31996,0.26258,0.73716,2.17136,0.83558,0.000183478,0.000183478,0.000183478
9,1039.15,0.92847,1.8926,0.84297,0.53891,0.34314,0.35416,0.28306,0.75982,2.14596,0.83086,0.000179261,0.000179261,0.000179261
10,1099.09,0.85394,1.64875,0.81936,0.51895,0.36653,0.36295,0.29688,0.6985,2.0592,0.82947,0.000175043,0.000175043,0.000175043
11,1194.89,0.88573,1.62819,0.82207,0.56247,0.29585,0.32161,0.26075,0.69937,2.06876,0.82927,0.000170826,0.000170826,0.000170826
12,1271.9,0.8222,1.50462,0.82053,0.37259,0.44641,0.39194,0.31589,0.7173,1.94645,0.82734,0.000166609,0.000166609,0.000166609
13,1331.55,0.87837,1.44218,0.81854,0.45055,0.41108,0.36585,0.29755,0.6785,2.00241,0.82292,0.000162391,0.000162391,0.000162391
14,1390.84,0.80003,1.32276,0.80267,0.51257,0.38135,0.38269,0.30959,0.71393,1.81516,0.82495,0.000158174,0.000158174,0.000158174
15,1579.19,0.76934,1.23438,0.81569,0.52349,0.42427,0.38405,0.32296,0.67713,1.93372,0.81974,0.000153956,0.000153956,0.000153956
16,1639.21,0.76934,1.20423,0.80512,0.51864,0.35344,0.39799,0.32898,0.70041,1.87195,0.81967,0.000149739,0.000149739,0.000149739
17,1699.03,0.79998,1.15438,0.81275,0.59236,0.32603,0.40406,0.33387,0.66197,1.84105,0.82131,0.000145522,0.000145522,0.000145522
18,1808.51,0.78979,1.13474,0.81826,0.49513,0.38735,0.38641,0.31992,0.66915,1.76729,0.82376,0.000141304,0.000141304,0.000141304
19,1995.45,0.76114,1.02242,0.81195,0.44699,0.42419,0.42726,0.34981,0.69582,1.70943,0.8254,0.000137087,0.000137087,0.000137087
20,2054.97,0.73879,1.05108,0.81333,0.51579,0.44238,0.41884,0.34907,0.67793,1.73828,0.81806,0.000132869,0.000132869,0.000132869
21,2114.28,0.75914,0.97501,0.8076,0.47958,0.43741,0.40564,0.33464,0.68787,1.69049,0.81475,0.000128652,0.000128652,0.000128652
22,2181.58,0.74998,0.95687,0.80602,0.50404,0.44223,0.39045,0.32032,0.67504,1.87411,0.81716,0.000124435,0.000124435,0.000124435
23,2228.67,0.73074,0.95967,0.80573,0.59271,0.40169,0.42692,0.35789,0.6281,1.67622,0.81132,0.000120217,0.000120217,0.000120217
24,2278.79,0.76515,0.93735,0.81644,0.59255,0.35767,0.41341,0.33519,0.66003,1.6699,0.81577,0.000116,0.000116,0.000116
25,2325.66,0.7234,0.85034,0.80522,0.58326,0.41703,0.43188,0.35829,0.63774,1.66026,0.81697,0.000111782,0.000111782,0.000111782
26,2493.22,0.73451,0.8225,0.81457,0.54274,0.41537,0.43016,0.3585,0.63948,1.63141,0.81847,0.000107565,0.000107565,0.000107565
27,2548.03,0.73866,0.80864,0.80968,0.56558,0.42203,0.44907,0.37125,0.64631,1.60837,0.81609,0.000103348,0.000103348,0.000103348
28,2601.17,0.72268,0.80296,0.80375,0.47574,0.45942,0.44878,0.37559,0.64783,1.68424,0.81559,9.91302e-05,9.91302e-05,9.91302e-05
29,2652.13,0.71022,0.778,0.80852,0.49735,0.43846,0.45009,0.37291,0.65306,1.58521,0.81334,9.49128e-05,9.49128e-05,9.49128e-05
30,2729.25,0.68305,0.71111,0.79421,0.48735,0.4673,0.44211,0.36927,0.64539,1.59157,0.8159,9.06954e-05,9.06954e-05,9.06954e-05
31,2782.09,0.68259,0.70876,0.78876,0.51647,0.47166,0.45531,0.37387,0.67608,1.58605,0.82085,8.6478e-05,8.6478e-05,8.6478e-05
32,2838.1,0.66761,0.69779,0.8041,0.53144,0.43887,0.44388,0.37053,0.64745,1.54453,0.8159,8.22606e-05,8.22606e-05,8.22606e-05
33,2888.98,0.68122,0.69884,0.80038,0.51395,0.44862,0.46859,0.38788,0.63749,1.55375,0.8157,7.80432e-05,7.80432e-05,7.80432e-05
34,3065.14,0.68098,0.66647,0.79586,0.54326,0.4555,0.46419,0.39428,0.62229,1.54479,0.80948,7.38258e-05,7.38258e-05,7.38258e-05
35,3115.3,0.66802,0.67841,0.79958,0.50683,0.43129,0.43104,0.36292,0.63003,1.59528,0.81038,6.96084e-05,6.96084e-05,6.96084e-05
36,3168.42,0.70649,0.69134,0.79887,0.4483,0.42555,0.43442,0.35933,0.65711,1.60604,0.81126,6.5391e-05,6.5391e-05,6.5391e-05
37,3219.06,0.6541,0.62744,0.79001,0.45987,0.46769,0.47366,0.39881,0.63293,1.53999,0.8086,6.11736e-05,6.11736e-05,6.11736e-05
38,3297.79,0.64322,0.60216,0.7906,0.56576,0.47099,0.44167,0.3646,0.65248,1.55319,0.80994,5.69562e-05,5.69562e-05,5.69562e-05
39,3348.52,0.64978,0.6119,0.79543,0.53702,0.45536,0.45188,0.37464,0.62693,1.53501,0.81091,5.27388e-05,5.27388e-05,5.27388e-05
40,3401.64,0.67573,0.62292,0.80972,0.43663,0.47528,0.45229,0.37065,0.64371,1.57386,0.80981,4.85214e-05,4.85214e-05,4.85214e-05
41,3555.35,0.64962,0.71281,0.80317,0.53563,0.44248,0.44959,0.36518,0.68571,1.59953,0.8155,4.4304e-05,4.4304e-05,4.4304e-05
42,3627.17,0.63233,0.64191,0.78831,0.45726,0.45772,0.44053,0.3617,0.64442,1.61839,0.8079,4.00866e-05,4.00866e-05,4.00866e-05
43,3680.07,0.58925,0.61987,0.79198,0.46696,0.43659,0.40955,0.33532,0.66344,1.65734,0.80867,3.58692e-05,3.58692e-05,3.58692e-05
44,3732.81,0.61036,0.609,0.78055,0.48754,0.42932,0.41328,0.33963,0.64159,1.61603,0.8073,3.16518e-05,3.16518e-05,3.16518e-05
45,3785.85,0.59246,0.58214,0.79075,0.45763,0.4782,0.42557,0.35214,0.63419,1.60003,0.80677,2.74344e-05,2.74344e-05,2.74344e-05
46,3867.53,0.60717,0.57456,0.79176,0.53466,0.44195,0.42098,0.34994,0.63195,1.58193,0.80791,2.3217e-05,2.3217e-05,2.3217e-05
47,3923.27,0.58453,0.56676,0.80082,0.56822,0.44659,0.43924,0.36638,0.63124,1.59112,0.80735,1.89996e-05,1.89996e-05,1.89996e-05
48,3979.12,0.60551,0.59184,0.78775,0.54905,0.42363,0.42585,0.35441,0.63863,1.60699,0.80734,1.47822e-05,1.47822e-05,1.47822e-05
49,4035.16,0.59004,0.56446,0.79055,0.51095,0.42691,0.42964,0.35641,0.64536,1.59919,0.80858,1.05648e-05,1.05648e-05,1.05648e-05
50,4240.13,0.57881,0.56691,0.79254,0.53406,0.40422,0.43827,0.36378,0.64193,1.59203,0.80818,6.3474e-06,6.3474e-06,6.3474e-06
