epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,959.29,0.8334,2.75364,0.80407,0.44044,0.36577,0.37477,0.302,0.80351,2.87727,0.84658,4.4304e-05,4.4304e-05,4.4304e-05
42,979.331,0.81139,2.62829,0.81799,0.5031,0.37652,0.36869,0.30147,0.75884,2.86967,0.84601,4.00866e-05,4.00866e-05,4.00866e-05
43,999.287,0.79938,2.69723,0.81063,0.51777,0.40041,0.37329,0.30609,0.77387,2.84527,0.8495,3.58692e-05,3.58692e-05,3.58692e-05
44,1019.34,0.79566,2.5993,0.81649,0.47791,0.43333,0.37286,0.30097,0.7959,2.82475,0.85145,3.16518e-05,3.16518e-05,3.16518e-05
45,1039.49,0.78054,2.52235,0.80669,0.47468,0.41446,0.37464,0.30358,0.78999,2.79471,0.852,2.74344e-05,2.74344e-05,2.74344e-05
46,1059.43,0.7722,2.46423,0.79977,0.53661,0.37411,0.36559,0.30029,0.77351,2.75982,0.84844,2.3217e-05,2.3217e-05,2.3217e-05
47,1079.52,0.77378,2.44103,0.79825,0.57485,0.37254,0.38399,0.31009,0.7759,2.76944,0.84528,1.89996e-05,1.89996e-05,1.89996e-05
48,1099.59,0.76565,2.44224,0.80858,0.47765,0.43537,0.37594,0.30649,0.79123,2.79443,0.84667,1.47822e-05,1.47822e-05,1.47822e-05
49,1120.07,0.75992,2.42229,0.80185,0.48301,0.42143,0.38594,0.31066,0.78906,2.80189,0.8457,1.05648e-05,1.05648e-05,1.05648e-05
50,1141.4,0.75614,2.44156,0.80294,0.60581,0.33876,0.38327,0.30862,0.7805,2.77291,0.84569,6.3474e-06,6.3474e-06,6.3474e-06
